id,bathroom,locality,property_size,rent_amount,type_bhk
1293,3,Pragathi Nagar,1895,23000,3
1296,3,Adibatla,1422,18000,3
1301,2,Kukatpally,1280,18000,2
1302,2,Kukatpally,1280,18000,2
1303,3,Nallagandla,1800,30000,3
1305,3,Kondapur,1770,22000,3
1307,2,Kukatpally,1265,23000,3
1309,3,Manikonda,1600,20000,3
1314,3,Mallampet,1582,10000,3
1321,2,Toli Chowki,1400,13000,3
1325,1,Gachibowli ,700,10000,1
1328,4,Bachupally,2600,22000,3
1329,2,Kukatpally,1060,15000,2
1330,2,Kondapur,1185,19000,2
1333,2,Kistareddypet,1475,8000,3
1334,2,Safilguda,1000,9000,2
1336,2,Kukatpally,1100,15000,2
1342,2,Miyapur,3000,15000,2
1347,1,Yousufguda,450,8000,1
1351,3,Kondapur,1500,28000,3
1354,2,Kompally,1039,10000,2
1361,2,Bachupally,1048,11000,2
1362,3,Amberpet,1375,22000,3
1367,3,Miyapur,2500,28000,3
1368,2,Banjara Hills,1500,30000,3
1377,2,Sanjeeva Reddy Nagar,1000,14000,2
1379,2,Chanda Nagar,1300,19000,3
1391,2,Chanda Nagar,1108,18000,2
1393,2,Serilingampally,650,10000,2
1398,2,Miyapur,1250,15000,2
1400,2,Nagole,1300,17000,3
1406,2,Ameenpur,1200,12000,2
1407,2,Ameenpur,1200,12000,2
1409,2,Kondapur,1120,20000,2
1412,3,Serilingampalle ,1965,28000,3
1414,2,Attapur,1250,13000,3
1416,2,Kukatpally,1150,15000,2
1418,2,Serilingampally,700,13500,2
1421,3,Peerzadiguda,1520,16500,3
1423,3,Miyapur,1500,18000,3
1424,2,Ameenpur,1075,10000,2
1430,2,Kondapur,1120,18500,2
1431,2,Hafeezpet,1450,30000,3
1435,2,Madeenaguda,1300,15000,3
1437,2,Nanakaramguda,1200,20000,3
1438,3,Manikonda,1630,22000,3
1439,2,Beeramguda,1150,10000,2
1441,2,Kukatpally,1100,13000,2
1442,3,Miyapur,1910,22000,3
1448,2,Himayatnagar,1354,25500,3
1449,2,Himayatnagar,1354,25500,3
1450,2,Kondapur,1650,25000,3
1452,2,Kushaiguda,1400,10000,3
1453,2,Gudimalkapur,1100,12500,2
1461,2,Madhapur,1200,30000,3
1465,2,Hitec City,1550,27500,3
1466,2,Kondapur,1450,28000,3
1467,3,Amberpet,1000,11000,2
1474,2,Shaikpet,1045,17000,2
1477,4,Bowrampet,2100,11000,3
1483,3,Kukatpally,1500,17800,3
1487,2,Chanda Nagar,500,7000,1
1488,2,Ramachandrapuram,600,9000,2
1495,1,Dilsukhnagar,950,10000,1
1497,2,Kondapur,900,15000,2
1498,2,Chanda Nagar,907,12000,2
1501,2,Kondapur,1050,16000,2
1503,2,Kukatpally,1232,15000,2
1504,3,Nacharam,1400,20000,3
1505,2,Kukatpally,1100,12000,2
1506,2,Ameenpur,1200,13000,2
1507,3,Chanda Nagar,1650,17000,3
1508,3,Serilingampally,1965,30000,3
1516,2,Pragathi Nagar,1250,14500,2
1521,3,Shilpa Hills,1450,28000,3
1523,2,Adikmet,1000,13000,2
1524,2,Toli Chowki,1600,30000,3
1525,3,Gachibowli,1510,23000,3
1526,3,Gachibowli,2200,26000,3
1528,3,Chintalmet,1000,13000,3
1530,2,Kismatpur,1455,15000,3
1532,2,Pragathi Nagar,950,11000,2
1533,2,Pragathi Nagar,950,11000,2
1536,2,Nanakaramguda,1198,24000,3
1538,2,Secunderabad,1700,20000,3
1539,2,Manikonda Jagir,1200,15000,2
1540,3,Gachibowli,1690,30000,3
1542,3,Kondapur,1800,30000,3
1546,2,Kukatpally,600,12500,2
1547,2,Kavadiguda,1100,19000,2
1548,1,Nagole,800,9000,1
1549,2,Gajularamaram,1350,15000,2
1550,2,Kondapur,1195,15000,2
1551,1,Sanjeeva Reddy Nagar,820,12500,2
1557,2,Miyapur,1500,18000,3
1558,2,Erragadda,620,7000,1
1559,3,Mansoorabad,1500,15000,3
1560,3,Narsingi,1836,25000,3
1562,2,Kachiguda,1200,17500,2
1563,1,Sanjeeva Reddy Nagar,415,8000,1
1566,3,Kothaguda,1900,25000,3
1573,2,Shaikpet,1550,10000,2
1574,3,Nalagandla,1650,18000,3
1575,2,Miyapur,1100,19000,2
1577,2,Miyapur,1150,17500,2
1581,4,Peerzadiguda,1800,25999,3
1587,3,Ranga Reddy District,1800,19000,3
1588,2,Gopanpally,1480,15000,3
1590,3,Kokapet,2000,18000,3
1598,2,Kukatpally,1015,13500,2
1600,1,Kukatpally,550,8000,1
1602,3,Manikonda Jagir,1850,21000,3
1603,2,Toli Chowki,1165,20000,2
1604,3,Manikonda,1500,20000,3
1606,1,Kondapur,420,10000,1
1618,1,Vanasthalipuram,750,5500,1
1622,2,Kondapur,1000,20000,2
1624,2,Kukatpally,1250,15000,2
1628,3,Kondapur,2150,25000,3
1630,2,Gachibowli,1445,27000,3
1636,3,Sainikpuri,1560,18000,3
1637,3,Miyapur,1350,7000,2
1638,3,Miyapur,1350,7000,2
1640,2,Alwal,1000,9000,2
1641,1,Borabanda,630,9000,1
1644,3,Kondapur,1545,30000,3
1646,3,West Marredpally,1340,20000,3
1652,3,Krishna Reddy Pet,1715,15000,3
1654,1,Nizampet,400,10000,1
1660,3,Chanda Nagar,1300,16000,3
1661,3,Kompally,1544,18000,3
1665,2,Pragathi Nagar,1050,12000,2
1666,3,Miyapur,1780,18000,3
1668,2,Kukatpally,1650,22000,3
1670,2,Bahadurguda,1000,12000,2
1672,2,Mansoorabad,1350,16000,2
1677,2,Kondapur,750,18000,2
1679,2,Toli Chowki,1300,12500,2
1680,2,Toli Chowki,1300,12500,2
1685,3,Narsingi,1655,28000,3
1695,2,Kukatpally,900,14000,2
1697,2,Bahadurguda,1100,8000,1
1698,1,Peerzadiguda,700,6000,1
1702,1,Bandlaguda Jagir,650,6500,1
1703,2,Kukatpally,1200,14500,2
1705,2,Serilingampally,700,9500,2
1708,3,Gokul Plats,1656,17000,3
1711,3,Gachibowli,1500,22000,3
1715,2,Tarnaka,1700,23000,3
1717,1,Quthbullapur,421,5000,1
1719,2,Nizampet,1600,13000,3
1721,2,Serilingampally,1400,20000,3
1723,2,Serilingampally,1400,20000,3
1728,2,Kothaguda,1500,17000,3
1729,2,Kukatpally,1200,16000,2
1733,2,Nizampet,1150,15500,2
1734,2,Kondapur,1100,18000,2
1735,3,Kondapur,2000,26000,3
1737,2,Kondapur,900,16000,2
1738,2,Kukatpally,1230,14000,2
1740,1,Boduppal,520,5500,1
1741,2,Moula Ali,1000,9000,2
1742,2,Chanda Nagar,1150,15000,2
1743,2,Chanda Nagar,1150,15000,2
1744,3,Pragathi Nagar,1530,13500,3
1747,1,Erragadda,500,8000,1
1755,3,Kothaguda,1800,30000,3
1756,2,Gajularamaram,1125,16000,2
1758,2,Jawahar Nagar,1400,15000,3
1761,2,Kondapur,1000,17000,2
1762,2,Hafeezpet,1600,17000,2
1766,1,Madhapur,700,10000,1
1768,2,Puppalaguda,1135,20000,3
1769,2,Serilingampally,1050,18000,2
1775,3,Pragathi Nagar,1560,13000,3
1776,2,Safilguda,990,8000,2
1778,3,Miyapur,1445,16000,3
1782,1,Moosapet,300,8500,1
1785,2,Attapur,1050,15000,2
1792,2,Kokapet,1050,17000,2
1793,3,Bandlaguda,1416,14000,3
1797,2,Osman Nagar,1210,14000,2
1801,2,Hafeezpet,1080,13000,2
1802,3,Kothaguda,1800,25000,3
1803,3,Serilingampally,1460,15000,3
1805,1,LB Nagar,700,8000,1
1806,1,LB Nagar,700,8000,1
1807,1,Miyapur,486,8500,1
1810,2,Moti Nagar,800,13000,2
